File name,Date,category_name,category_value
20240405,2024-04-05,Le Bazar,0
20240428,2024-04-28,Le Bazar,0
20240415,2024-04-15,Le Bazar,0
20240330,2024-03-30,Le Bazar,0
20240425,2024-04-25,Médicaments délivrables sous ordonnance,11
20240402,2024-04-02,Médicaments délivrables sous ordonnance,11
20240412,2024-04-12,Médicaments délivrables sous ordonnance,11
20240424,2024-04-24,Médicaments délivrables sous ordonnance,11
20240404,2024-04-04,Médicaments délivrables sous ordonnance,11
20240407,2024-04-07,Médicaments délivrables sous ordonnance,11
20240328,2024-03-28,Médicaments délivrables sous ordonnance,11
20240403,2024-04-03,Médicaments délivrables sous ordonnance,11
20240409,2024-04-09,Médicaments délivrables sous ordonnance,11
20240406,2024-04-06,Médicaments délivrables sous ordonnance,11
20240419,2024-04-19,Médicaments délivrables sous ordonnance,11
20240417,2024-04-17,Médicaments délivrables sous ordonnance,11
20240408,2024-04-08,Médicaments délivrables sous ordonnance,11
20240422,2024-04-22,Médicaments délivrables sous ordonnance,11
20240418,2024-04-18,Médicaments délivrables sous ordonnance,11
20240410,2024-04-10,Médicaments délivrables sous ordonnance,11
20240405,2024-04-05,Médicaments délivrables sous ordonnance,11
20240416,2024-04-16,Médicaments délivrables sous ordonnance,11
20240411,2024-04-11,Médicaments délivrables sous ordonnance,11
20240406,2024-04-06,Médicaments délivrables sous ordonnance,11
20240422,2024-04-22,Médicaments délivrables sous ordonnance,11
20240421,2024-04-21,Médicaments délivrables sous ordonnance,11
20240329,2024-03-29,Médicaments délivrables sous ordonnance,11
20240407,2024-04-07,Médicaments délivrables sous ordonnance,11
20240408,2024-04-08,Médicaments délivrables sous ordonnance,11
20240414,2024-04-14,Médicaments délivrables sous ordonnance,11
20240413,2024-04-13,Médicaments délivrables sous ordonnance,11
20240427,2024-04-27,Médicaments délivrables sous ordonnance,11
20240423,2024-04-23,Médicaments délivrables sous ordonnance,11
20240420,2024-04-20,Médicaments délivrables sous ordonnance,11
20240331,2024-03-31,Médicaments délivrables sous ordonnance,11
20240327,2024-03-27,Médicaments délivrables sous ordonnance,11
20240424,2024-04-24,Médicaments délivrables sous ordonnance,11
20240401,2024-04-01,Médicaments délivrables sous ordonnance,11
